REPORTING_PERIOD_START,REPORTING_PERIOD_END,GROUP_TYPE,ORG_CODE1,ORG_NAME1,ORG_CODE2,ORG_NAME2,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE_SUPPRESSED
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M001,Count_ReferralsReceived,145149
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M002,Count_SelfReferrals,100847
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M003,Count_GPReferrals,12543
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M004,Count_HealthVisitorReferrals,605
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M005,Count_OtherPrimaryCareReferrals,4409
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M006,Count_CarerReferrals,52
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M007,Count_LAReferrals,291
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M008,Count_EmployerReferrals,129
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M009,Count_JusticeSystemReferrals,246
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M010,Count_ChildHealthReferrals,75
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M011,Count_IndependentVoluntaryReferrals,539
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M012,Count_SecondaryCareReferrals,2789
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M013,Count_OtherMHReferrals,1
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M014,Count_InternalReferrals,1759
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M017,Count_OtherReferrals,10355
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M018,Count_IAPTReferrals,1492
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M019,Count_OpenReferralNoActivity60days,273914
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M020,Count_OpenReferralNoActivity61to90days,32454
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M021,Count_OpenReferralNoActivity91to120days,25150
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M022,Count_OpenReferralNoActivityOver120days,60211
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M023,Count_FirstAssessment,99394
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M024,Count_FirstAssessment28days,84771
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M025,Count_FirstAssessment29to56days,9855
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M026,Count_FirstAssessment57to90days,2790
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M027,Count_FirstAssessmentOver90days,1978
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M028,Count_EndedBeforeAssessment,46988
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M029,Count_WaitingForAssessment,92279
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M030,Count_WaitingForAssessmentOver90days,12893
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M031,Count_FirstTreatment,101382
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M032,Count_FirstTreatment28days,85520
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M033,Count_FirstTreatment29to56days,10120
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M034,Count_FirstTreatment57to90days,3016
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M035,Count_FirstTreatmentOver90days,2726
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M036,Count_FirstTreatment6Weeks,92454
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M037,Count_FirstTreatment18Weeks,100266
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M038,Count_WaitingForTreatment,91583
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M039,Count_WaitingForTreatment0to2weeks,44924
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M040,Count_WaitingForTreatment0to4weeks,61635
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M041,Count_WaitingForTreatment0to6weeks,69792
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M042,Count_WaitingForTreatment0to12weeks,79079
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M043,Count_WaitingForTreatment0to18weeks,82758
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M044,Count_WaitingForTreatmentOver18weeks,8825
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M045,Count_WaitingForTreatmentOver90days,12101
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M046,Count_FirstToSecondTreatmentOver28days,32663
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M047,Count_FirstToSecondTreatmentOver90days,13020
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M048,Mean_WaitEnteredTreatment,17.8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M049,Median_WaitEnteredTreatment,9
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M050,Mean_WaitFinishedCourseTreatment,22.1
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M051,Median_WaitFinishedCourseTreatment,13
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M052,Count_FirstTreatment6WeeksFinishedCourseTreatment,52582
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M054,Count_FirstTreatment18WeeksFinishedCourseTreatment,58433
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M055,Percentage_FirstTreatment18WeeksFinishedCourseTreatment,98.4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M056,Count_EndedReferrals,151577
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M057,Count_EndedNotSuitable,8206
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M058,Count_EndedSignposted,8246
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M059,Count_EndedMutualAgreement,7273
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M060,Count_EndedReferredElsewhere,8503
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M061,Count_EndedDeclined,18272
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M062,Count_EndedDeceasedAssessedOnly,31
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M063,Count_EndedUnknownAssessedOnly,1978
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M066,Count_EndedCompleted,40096
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M069,Count_EndedDeceasedTreated,56
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M070,Count_EndedUnknownTreated,1720
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M071,Count_EndedInvalid,405
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M072,Count_EndedNoReasonRecorded,1539
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M073,Count_EndedNotSeen,43640
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M074,Count_EndedSeenNotTreated,1389
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M075,Count_EndedTreatedOnce,47172
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M076,Count_FinishedCourseTreatment,59376
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M082,Count_Appointments,657416
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M083,Count_ApptsCancelledPatient,67384
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M084,Count_ApptsDNA,67339
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M085,Count_ApptsCancelledProvider,28725
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M086,Count_ApptsAttended,484637
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M087,Count_ApptsAttendedLate,6374
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M088,Count_ApptsLateNotSeen,1733
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M089,Count_ApptsFinishedCourseTreatment,474551
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M090,Count_GuideSelfHelpBookAppts,97119
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M091,Count_NonGuideSelfHelpBookAppts,5681
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M092,Count_GuideSelfHelpCompAppts,10848
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M093,Count_NonGuideSelfHelpCompAppts,647
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M095,Count_StructPhysActAppts,25
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M097,Count_PsychoEducPeerSuppAppts,18876
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M098,Count_OtherLIAppts,59481
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M099,Count_EmploySuppAppts,9267
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M100,Count_AppRelaxAppts,228
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1001,Count_FacetoFaceAppts,64327
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1002,Count_TelephoneAppts,242978
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1004,Count_TalktypeAppts,239
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1005,Count_EmailAppts,6120
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1006,Count_SMSAppts,2978
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1007,Count_InstantMessagingAppts,3688
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1008,Count_ConsMediumOtherAppts,11312
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1009,Count_ConsMediumUnknownAppts,62988
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1010,Percentage_Deterioration,5.9
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1014,Count_ApptsStaffQualified,121225
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1015,Count_ApptsStaffInTraining,27774
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1016,Count_ApptsStaffNotQualifiedOrInTraining,42425
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1017,Count_ApptsMissingQualificationsAndTraining,299723
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1018,Count_ConsMediumVideoConsultAppts,96060
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1019,Count_ConsMediumMessageBoardAppts,299
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M102,Count_CoupleTherapyDepAppts,1942
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M1020,Count_ConsMediumChatRoomAppts,1
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M103,Count_CollabCareAppts,3427
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M104,Count_CounselDepAppts,44629
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M105,Count_BPDAppts,1213
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M106,Count_EyeMoveDesenReproAppts,6309
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M107,Count_MindfulAppts,270
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M108,Count_OtherHIAppts,78953
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M110,Count_CBTAppts,127259
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M111,Count_IPTAppts,5125
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M112,Mean_HISessions,7.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M113,Mean_CBTSessions,6.3
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M114,Mean_BPDSessions,6.6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M115,Mean_CounsellingSessions,5.9
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M116,Mean_IPTSession,8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M117,Mean_CouplesSessions,7.8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M119,Mean_OtherHISessions,7.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M120,Mean_LiSessions,3.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M141,Mean_ApptsFinishedCourseTreatment,8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M142,Median_ApptsFinishedCourseTreatment,6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M143,Max_ApptsFinishedCourseTreatment,165
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M144,Min_ApptsFinishedCourseTreatment,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M153,Count_EndedBeforeTreatment,45036
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M179,Count_NotAtCaseness,3359
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M180,Percentage_NotAtCaseness,5.7
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M184,Count_SecondTreatment,58359
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M185,Count_Improvement,39482
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M186,Percentage_Improvement,66.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M187,Count_NoReliableChange,15566
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M189,Count_Deterioration,3478
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M191,Count_Recovery,27670
